ProductID,LocationID,Location Name,Product Name,Product Barcode,Product Description,Product Order Code,Sale Price,Category Name,Current Stock,Min Stock,Max Stock,Current Volume,On Order,Alerts,Cost Price, Supplier Name,Unit of Sale,Volume of Sale,Unit of Purchase,Volume of Purchase
3586026,17288,Markham House,Maxicrop Take Root Liq 300ml,5013762000442,Maxicrop Take Root Liquid 300ml,D50742,2.95000,TREATMENTS,,,,,,n,1.89700,,,,,
3586027,10028,WRHS Trading Post Main Store,Vitax Houseplant Feed 200ml,5012042042035,Vitax Houseplant Feed 200ml,D55814,1.50000,HOUSEPLANT FEEDS,0.00000,0.00000,0.00000,0,0,n,0.96600,,,,,
3586027,17288,Markham House,Vitax Houseplant Feed 200ml,5012042042035,Vitax Houseplant Feed 200ml,D55814,1.50000,HOUSEPLANT FEEDS,,,,,,n,0.96600,,,,,
3586033,10028,WRHS Trading Post Main Store,Agra Plum Fruit Moth Refill,5019226000218,Agra Plum Fruit Moth Refill HA731,D50240,6.00000,TRAPS,14.00000,0.00000,0.00000,0,0,n,3.90000,,,,,
3586033,17288,Markham House,Agra Plum Fruit Moth Refill,5019226000218,Agra Plum Fruit Moth Refill HA731,D50240,6.00000,TRAPS,,,,,,n,3.90000,,,,,
3586034,10028,WRHS Trading Post Main Store,Agra Plum Maggot Trap,5012042010454,Agra Plum Maggot Monitoring Trap,D50239,9.05000,TRAPS,-1.00000,0.00000,0.00000,0,0,n,5.86200,,,,,
3586034,17288,Markham House,Agra Plum Maggot Trap,5012042010454,Agra Plum Maggot Monitoring Trap,D50239,9.05000,TRAPS,,,,,,n,5.86200,,,,,
3586036,10028,WRHS Trading Post Main Store,Vitax Apple Maggot Trap,5012042010430,Vitax Apple Maggot Trap,D49477,9.05000,TRAPS,13.00000,0.00000,0.00000,0,0,n,5.86200,,,,,
3586036,17288,Markham House,Vitax Apple Maggot Trap,5012042010430,Vitax Apple Maggot Trap,D49477,9.05000,TRAPS,,,,,,n,5.86200,,,,,
3586040,10028,WRHS Trading Post Main Store,Bucket black 14 litre,5035276006017#5060370711444,Bucket black 14 litre,,1.60000,BAGS & TUBTRUGS,13.00000,0.00000,0.00000,0,0,n,1.03400,,,,,
